Subjects,Mean1,Mean2,Mean3,Mean4
220796,0.2271623793548386,0.248476744516129,0.24030265419354832,0.21575029096774198
202200,0.14913284064516125,0.14409792774193544,0.16338480258064525,0.1540476838709677
219809,0.17638878709677416,0.17324953290322562,0.2358936858064517,0.2639537425806452
35780,0.22924846967741944,0.17776538903225805,0.22711500258064526,0.25694362
216806,0.13067743419354838,0.13052398064516132,0.15215703870967745,0.12516166612903223
220399,0.3579203170322583,0.3575726954838712,0.31689036322580655,0.3546029529032258
210290,0.20447012967741934,0.19688472258064513,0.2153720006451613,0.21114101612903222
211101,0.31883202645161296,0.4218887129032258,0.2643267638709676,0.28809059677419363
221140,0.17421930516129033,0.17059046322580648,0.19129072645161296,0.14848123870967744
212019,0.22777476580645165,0.25462018774193546,0.327986373548387,0.30792584322580624
208510,0.2032074419354839,0.189051484516129,0.1482535431612903,0.16894918064516123
212857,0.4177873503225807,0.4464802625806451,0.59102176,0.45834564322580634
219044,0.10326186064516131,0.12038912580645163,0.1244965258064516,0.1490578251612904
220927,0.1864493787096774,0.21368294645161284,0.21075435290322572,0.18114075677419372
213704,0.7753655677419357,0.4703365729032257,0.4283626761290324,0.5123295509677416
220451,0.14368367548387104,0.1338747948387096,0.17640592258064516,0.16663328903225802
221273,0.27078130322580646,0.32771296193548377,0.4365306206451613,0.29731537225806454
221292,0.22010126838709682,0.21432683225806454,0.18608202000000007,0.18572630967741946
220789,0.2563266587096775,0.22901249032258073,0.2472298122580644,0.24094664387096773
219954,0.14701921741935478,0.14387662516129035,0.1522413812903226,0.15631656064516128
219956,0.10852495799999996,0.10852495799999996,0.10735529135483865,0.12718083677419353
220913,0.15653320135483875,0.15751308387096774,0.16750757225806448,0.15398325806451618
881075,0.24529108709677416,0.20102072774193536,0.18156666516129036,0.21928005225806452
221099,1.0519801974193546,1.1913033548387095,1.3766545290322576,1.1434254967741935
220017,0.5133948845161291,0.7138297290322583,0.6450885632258065,0.7908303567741939
221298,0.30089870322580653,0.3722067664516129,0.41535857161290307,0.455819243870968
219619,0.49014000645161304,0.394925590967742,0.3551355090322581,0.4429352903225806
221226,0.19193307225806447,0.1228631709677419,0.14937531290322578,0.1361248651612903
221018,0.17237156903225812,0.16903842580645156,0.160864415483871,0.1495826825806452
219886,0.09119226580645161,0.09912152580645162,0.07010171161290325,0.08885576967741932
220553,0.19307562903225817,0.17432608774193556,0.16997226709677424,0.19131459354838704
220152,0.17520530941935478,0.16948504129032246,0.1532854421290323,0.1292598301290322
217048,0.22302796451612902,0.23535166258064508,0.21050468387096782,0.22904385225806445
219392,0.22701903548387092,0.2159948903225806,0.24992600064516118,0.2890028574193549
220989,0.28768375419354847,0.2262926432258065,0.2594539529032258, 
881209,3.6371676870967744,4.293390296774193,3.7651768064516142,3.0175877870967733
220531,0.2038799967741935,0.18540546451612894,0.21109619999999998,0.18207428193548378
115105,0.5405215477419354,0.5916588129032259,0.6118993309677417,0.4348339393548387
221080,0.20032299548387106,0.1794074729032257,0.2075395225806451,0.20405670451612917
221085,0.0757038483870968,0.08547084774193552,3.634705935192308, 
218219,0.24150755935483878,0.2056761916129031,0.14737149161290314,0.36980906645161277
219949,0.12349878709677427,0.13996519270967742,0.08549679870967745,0.09515537696774191
214082,0.15054494000000004,0.15614909935483878,0.15487265870967737, 
217909,0.5605286903225809,0.3522476877419354,0.6293385806451615, 
217293,0.3368279529032256,0.49278091161290327,0.5685978341935485,0.3922185922580644
219944,0.14790215677419355,0.13903929032258064,0.13370514200000008,0.1356547283870968
220865,0.36741441741935493,0.36184819999999995,0.3601070611612905,0.3606595406451612
213163,0.18479457225806453,0.2815637303225808,0.31560538838709673,0.3282943477419355
217988,0.17568918387096766,0.1532170587096775,0.1483704193548388,0.16913810000000004
220926,0.2659915096774192,0.1808541148387097,0.20234085483870973,0.17032732645161294
210374,0.40968107870967746,0.42517416774193567,0.5549094219354839,0.5336613741935485
221256,0.17339480709677418,0.13696767419354833,0.15914285870967737,0.15307966193548386
220523,0.1365563690322581,0.135418170967742,0.18045401225806446,0.13673599870967737
210381,0.5165990193548384,0.4786924283870968,0.4810659806451613,0.4334012748387096
211253,0.21941153870967742,0.16764149677419357,0.19151965677419344,0.21705294967741934
202278,0.2726499387096772,0.17809202064516144,0.2831673283870967,0.2861360193548386
215622,0.21630150387096767,0.19139361161290325,0.21060165096774197,0.19882116903225808
220976,0.1527408322580645,0.12557725096774194,0.10359855290322581,0.12336431225806448
219471,0.19027494774193546, , , 
212856,0.2922632948387096,0.30831342129032263,0.3727797045161287, 
216032,0.21812618333333333,0.1983646966666667,0.2573019886666665,0.2279975166666667
46069,0.15541940258064516,0.17779197161290325,0.17037044064516124,0.13715312322580633
219676,0.292296250967742,0.2517930780645162,0.34011032709677413,0.37452415225806446
215537,0.124270395483871,0.11995706774193547,0.10170655354838706,0.09347766258064516
215211,0.38484966322580644,0.2848932087741935,0.4792710529032259, 
220513,0.11361462774193548,0.11491965419354842,0.08980122387096774,0.10697560387096772
217008,0.41248930064516137,0.3600440109677421,0.3814385567741935,0.24245183935483888
220889,0.19937949612903236,0.20711229225806457,0.2009246806451613, 
221295,0.24029336064516124,0.2212619032258065,0.24283450451612903,0.2656341277419354
212794,0.15544805548387097,0.1783269316129032,0.2992347761290321,0.3455904316129032
220299,0.1889151858064517,0.13501422516129033,0.12878342193548387,0.09770139612903227
220963,0.32758258709677396,0.4508447258064518,0.5023681361290323,0.37215233870967723
220684,0.2919057290322581,0.3146819438709678,0.28647401161290326,0.2714118832258064
221181,0.27187699096774176,0.6567526445161291,0.4232929232258062,0.6871736335483871
221183,0.44917201354838704,0.5646429632258066,0.28694450064516125,0.5191358316129032
221261,0.15639039741935487,0.2660177741935483,0.15641547354838714,0.16618444967741933
219089,0.25007245290322583,0.2733315406451614,0.2804684296774194,0.26324926064516124
219772,0.2454859367741936,0.19648451032258069,0.16638060516129036,0.16057732129032262
204015,0.09867903090322583,0.10498950258064517,0.1343435309677419,0.12256546967741935
218572,0.1182771438709677,0.13034068258064518,0.1373650858064516,0.122291155483871
207224,0.3162857793548386,0.26887074580645154,0.5127725658064515,0.2625241993548388
210701,0.20248757612903234,0.23115481354838704,0.2556818006451614,0.32752084193548375
221245,0.1473823083870968,0.1833666948387097,0.21455384967741936, 
221036,0.07688776580645162,0.06472772903225807,0.0783725,0.08183788967741934
881224,0.07157992451612903,0.07819271935483874,0.06931212793548384,0.0719606212903226
881230,0.1174188129032258,0.12086348967741933,0.1198165148387097,0.18652351096774183
881132,0.3380687458064515,0.2663816638709677,0.2341390858064517,0.29980103225806465
203264,0.7503671612903225,0.7870018387096774,0.7381856387096775,0.7249687038709678
202021,0.1282861619354839,0.15319998774193555,0.14048808451612912,0.17991104129032262
221228,0.09077113870967742,0.0965110987096774,0.11083623870967751, 
220758,0.17982831612903222,0.16857825096774198,0.19961287419354848,0.2384994058064516
211038,0.19810443419354845,0.2307785200000001,0.20625808967741924,0.21087839354838725
220043,0.3370973412903226,0.32441096387096774,0.420124201935484,0.35788387999999977
221050,0.2974954599999999,0.4066867870967739,0.34784286774193546,0.31810472967741943
219658,0.2048745735483871,0.22908377612903222,0.2266892193548387,0.22630691935483874
29829,0.13781366135483866,0.11772870451612903,0.14591616129032264,0.14010822516129032
220051,0.2546695767741936,0.2871116341935484,0.22434736000000002,0.3385846148387096
220597,0.11522557161290323,0.1407085948387097,0.12857578645161286,0.17758369225806442
881105,0.45122701225806433,0.36775118838709675,0.4188229741935485,0.4256944341935485
881106,0.40837216838709683,0.39432599096774196,0.47502528967741925,0.6245142374193546
881100,1.3643989419354836,0.6448656774193552,0.9389052967741939,0.9047020967741941
220678,0.16528606967741943,0.1486569181290322,0.1684110858064516,0.14957386967741937
206270,0.5085395819354842,0.5454789574193551,0.46507783419354837,0.4548121593548388
208572,1.0427925555555555, , , 
220909,1.355503064516129,1.1644891999999993,0.9163567032258069,1.1403170903225799
220740,0.10313169870967741,0.1347387470967741,0.13287188774193542,0.13211989677419353
220947,0.1949235309677419,0.25689526838709675,0.18661827548387097,0.2372875335483872
221212,0.2835210064516129,0.2652074812903226,0.2571324503225806, 
220104,0.3894255561290321,0.4436907161290322,0.34135596322580647,0.29167777741935486
218714,0.1543233761290323,0.12583861483870967,0.13121370258064516,0.12045840645161283
220186,0.2752777703225807,0.21801009806451627,0.18561931870967738,0.23276121548387102
203803,0.2059284361290323,0.17415165548387093,0.18594768387096774,0.2569467006451613
220184,0.2667051819354839,0.2781336832258065,0.2536700574193547,0.293538646451613
220064,0.12895601161290324,0.13989834967741938,0.13121819225806453,0.12647725999999995
221164,0.08849478580645166,0.11370421354838713,0.15470130625806452,0.10881237290322582
217173,0.5737988206451612,0.3773431754838711,0.4328026019354838,0.5048331890322583
215088,0.177485266451613,0.1685428954838709,0.15943859354838708,0.1724819638709678
220401,0.29492865548387115,0.2619544696774193,0.35631529161290343,0.25972845161290314
220566,0.09360599161290326,0.20043425025806455,0.11881854064516133,0.10374082838709675
220244,0.10333469883870967,0.12783165935483876,0.10181053483870962,0.11009853806451605
212020,0.15130438580645159,0.15115409935483864,0.11501250322580645,0.12801266709677406
213868,0.19243758258064514,0.21197215225806446,0.20400345612903226,0.1947513161290322
221206,0.1200502729032258,0.21582763290322576,0.17791836516129025,0.2584696516129032
220024,0.5144999296774194,0.5994352432258064,0.6158001135483873,0.4957315974193549
220477,0.15934374516129035,0.4863607109677418,0.2581799445161291,0.22318449548387087
216011,0.12948430322580648,0.14261365225806452,0.11934686451612897,0.13725383290322585
